;this file describes RGB frames for x2 speed from the beginning of the video
;MILLISECOND RGB_FRAME_ID
000000066 000000
000000100 000001
000000200 000002
000000300 000003
000000400 000004
000000500 000005
000000600 000006
000000700 000007
000000800 000008
000000900 000009
000001000 000010
000001100 000011
000001200 000012
000001300 000013
000001400 000014
000001500 000015
000001600 000016
000001700 000017
000001800 000018
000001900 000019
000002000 000020
000002100 000021
000002200 000022
000002300 000023
000002400 000024
000002500 000025
000002600 000026
000002700 000027
000002800 000028
000002900 000029
000003000 000030
000003100 000031
000003200 000032
000003300 000033
000003400 000034
000003500 000035
000003600 000036
000003699 000037
000003800 000038
000003900 000039
000004000 000040
000004100 000041
000004200 000042
000004300 000043
000004400 000044
000004500 000045
000004600 000046
000004700 000047
000004800 000048
000004900 000049
000005000 000050
000005100 000051
000005200 000052
000005300 000053
000005400 000054
000005500 000055
000005600 000056
000005700 000057
000005800 000058
000005900 000059
000006000 000060
000006100 000061
000006200 000062
000006300 000063
000006400 000064
000006500 000065
000006600 000066
000006700 000067
000006800 000068
000006899 000069
